Threads,Run,Time (ms)
8,58,250.8789
8,59,237.5515
8,60,248.6032
16,0,239.1251
16,1,235.044
16,2,242.9657
16,3,237.5174
16,4,241.4272
16,5,239.0459
16,6,242.4864
16,7,240.0201
16,8,254.1363
16,9,252.3995
16,10,248.6596
16,11,245.7326
16,12,246.1661
16,13,254.2283
16,14,255.8743
16,15,250.4785
16,16,255.855
16,17,266.5293
16,18,254.4129
16,19,253.6269
16,20,255.1885
16,21,247.0609
16,22,248.2875
16,23,242.208
16,24,248.2328
16,25,246.1759
16,26,246.676
16,27,250.2672
16,28,251.6312
16,29,250.1869
16,30,243.9168
16,31,249.1029
16,32,250.7022
16,33,257.3615
16,34,261.421
16,35,244.5985
16,36,258.0926
16,37,251.1306
16,38,249.2455
16,39,250.7673
16,40,250.9634
16,41,260.4246
16,42,247.6277
16,43,248.8517
16,44,251.5849
16,45,245.8547
16,46,249.6477
16,47,251.8629
16,48,250.7411
16,49,249.0117
16,50,252.5388
16,51,246.1421
16,52,250.4745
16,53,251.9573
16,54,249.5684
16,55,246.3529
16,56,244.4501
16,57,255.7278
16,58,263.3892
16,59,257.3638
16,60,257.8563
32,0,259.3275
32,1,264.9967
32,2,256.338
32,3,262.0839
32,4,262.4721
32,5,260.9348
32,6,256.8073
32,7,252.3579
32,8,252.5472
32,9,254.8748
32,10,259.7695
32,11,256.6067
32,12,251.8149
32,13,254.8126
32,14,250.8069
32,15,258.6931
32,16,246.1016
32,17,260.7852
32,18,255.5571
32,19,268.0165
32,20,270.1895
32,21,266.1475
32,22,266.8265
32,23,272.8777
32,24,268.9305
32,25,262.5942
32,26,269.2406
32,27,266.3428
32,28,274.4808
32,29,269.0652
32,30,270.2358
32,31,260.248
32,32,254.6602
32,33,259.6679
32,34,257.271
32,35,252.9903
32,36,257.4791
32,37,258.6051
32,38,261.9031
32,39,260.5602
32,40,272.2465
32,41,268.4587
32,42,262.1122
32,43,260.8499
32,44,268.0435
32,45,278.8033
32,46,273.0025
32,47,276.5453
32,48,275.1707
32,49,270.0866
32,50,276.2714
32,51,278.7048
32,52,274.946
32,53,281.8051
32,54,280.7161
32,55,279.2974
32,56,268.7682
32,57,273.3182
32,58,273.8851
32,59,268.324
32,60,271.473
