Threads,Run,Time (ms)
64,18,205.9209
64,19,201.8654
64,20,210.47
64,21,207.9528
64,22,207.4309
64,23,202.3738
64,24,216.7339
64,25,205.1644
64,26,205.6942
64,27,210.8068
64,28,211.9979
64,29,207.8562
64,30,205.7188
64,31,204.14
64,32,207.9385
64,33,204.7575
64,34,207.0978
64,35,204.0401
64,36,205.7591
64,37,205.0508
64,38,212.0913
64,39,201.9227
64,40,209.0844
64,41,211.2738
64,42,209.8731
64,43,203.9921
64,44,203.9458
64,45,203.1327
64,46,208.7596
64,47,200.8358
64,48,206.6036
64,49,207.5638
64,50,212.3854
